username,repo_name,stars,repo_url
mrdoob,three.js,92700,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,23000,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21600,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,20900,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,17200,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,15600,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15500,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,14300,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10600,https://github.com/CesiumGS/cesium
metafizzy,zdog,9800,https://github.com/metafizzy/zdog
isl-org,Open3D,9000,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,8900,https://github.com/timzhang642/3D-Machine-Learning
blender,blender,8800,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6400,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6300,https://github.com/FyroxEngine/Fyrox
google,model-viewer,5700,https://github.com/google/model-viewer
openscad,openscad,5700,https://github.com/openscad/openscad
nerfstudio-project,nerfstudio,5500,https://github.com/nerfstudio-project/nerfstudio
spritejs,spritejs,5200,https://github.com/spritejs/spritejs
