username,repo_name,stars,repo_url
flutter,flutter,154000,https://github.com/flutter/flutter
facebook,react-native,110000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,103000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,86300,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,66200,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,48200,https://github.com/google/material-design-icons
Solido,awesome-flutter,47300,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,46700,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44100,https://github.com/square/okhttp
android,architecture-samples,42800,https://github.com/android/architecture-samples
square,retrofit,41700,https://github.com/square/retrofit
dcloudio,uni-app,38300,https://github.com/dcloudio/uni-app
fastlane,fastlane,37300,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36600,https://github.com/PhilJay/MPAndroidChart
laurent22,joplin,36300,https://github.com/laurent22/joplin
skylot,jadx,34900,https://github.com/skylot/jadx
airbnb,lottie-android,34000,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,33800,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33700,https://github.com/bumptech/glide
xitu,gold-miner,32500,https://github.com/xitu/gold-miner
